"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
0,17;-61,94;-123,32;-186,28;-248,37;-311,32
0,17;-61,75;-123,32;-186,28;-248,37;-311,32
0,17;-61,75;-123,32;-186,28;-248,37;-311,32
0,17;-61,75;-123,32;-186,28;-248,37;-311,32
0,17;-61,75;-123,32;-186,28;-248,37;-311,32
0,17;-61,77;-123,32;-186,28;-248,37;-311,32
0,20;-61,58;-123,32;-186,29;-248,37;-311,32
0,00;-61,58;-123,32;-186,10;-248,37;-311,32
0,00;-61,58;-123,32;-186,10;-248,37;-311,32
0,00;-61,58;-123,32;-186,10;-248,37;-311,32
0,00;-61,58;-123,32;-186,10;-248,37;-311,31
0,00;-61,58;-123,32;-186,10;-248,37;-311,49
0,02;-61,58;-123,34;-186,10;-248,37;-311,49
-0,17;-61,60;-123,13;-186,12;-248,37;-311,49
-0,17;-61,40;-123,32;-185,93;-248,37;-311,49
-0,17;-61,40;-123,32;-185,93;-248,37;-311,49
-0,17;-61,40;-123,32;-185,93;-248,37;-311,49
-0,17;-61,40;-123,32;-185,93;-248,37;-311,49
-0,17;-61,40;-123,32;-185,93;-248,37;-311,49
-0,15;-61,40;-123,32;-185,93;-248,37;-311,49
-0,34;-61,40;-123,32;-185,93;-248,37;-311,49
-0,34;-61,40;-123,32;-185,95;-248,37;-311,49
-0,34;-61,40;-123,32;-185,76;-248,37;-311,49
-0,34;-61,40;-123,32;-185,76;-248,37;-311,49
-0,34;-61,38;-123,32;-185,76;-248,37;-311,49
-0,34;-61,58;-123,32;-185,76;-248,37;-311,49
-0,34;-61,58;-123,32;-185,76;-248,37;-311,49
-0,34;-61,58;-123,32;-185,76;-248,37;-311,49
-0,34;-61,58;-123,32;-185,76;-248,37;-311,48
-0,34;-61,58;-123,31;-185,76;-248,37;-311,66
-0,37;-61,58;-123,50;-185,76;-248,37;-311,66
-0,17;-61,56;-123,50;-185,77;-248,36;-311,66
-0,17;-61,75;-123,50;-185,59;-248,54;-311,66
-0,17;-61,75;-123,50;-185,59;-248,54;-311,66
-0,17;-61,73;-123,50;-185,59;-248,54;-311,66
-0,17;-61,92;-123,50;-185,59;-248,54;-311,66
-0,17;-61,92;-123,50;-185,59;-248,54;-311,66
-0,17;-61,92;-123,50;-185,59;-248,54;-311,66
-0,20;-61,90;-123,50;-185,59;-248,54;-311,66
0,00;-62,09;-123,50;-185,59;-248,54;-311,66
0,00;-62,09;-123,50;-185,59;-248,54;-311,66
0,00;-62,09;-123,50;-185,59;-248,54;-311,66
0,00;-62,09;-123,48;-185,59;-248,54;-311,66
-0,02;-62,09;-123,67;-185,59;-248,54;-311,66
0,17;-62,07;-123,67;-185,59;-248,54;-311,66
0,17;-62,26;-123,67;-185,59;-248,53;-311,66
0,17;-62,26;-123,67;-185,59;-248,71;-311,66
0,17;-62,26;-123,69;-185,59;-248,71;-311,66
0,17;-62,26;-123,48;-185,59;-248,71;-311,66
0,17;-62,24;-123,67;-185,59;-248,71;-311,66
0,15;-62,44;-123,67;-185,59;-248,71;-311,66
0,34;-62,44;-123,67;-185,59;-248,71;-311,66
0,34;-62,44;-123,67;-185,59;-248,71;-311,66
0,34;-62,44;-123,67;-185,59;-248,71;-311,66
0,34;-62,44;-123,67;-185,59;-248,71;-311,66
0,34;-62,42;-123,67;-185,59;-248,71;-311,66
0,34;-62,61;-123,67;-185,59;-248,71;-311,66
0,34;-62,61;-123,67;-185,57;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,61;-123,67;-185,76;-248,71;-311,66
0,34;-62,63;-123,67;-185,76;-248,71;-311,66
0,37;-62,44;-123,67;-185,75;-248,71;-311,66
0,17;-62,44;-123,67;-185,93;-248,71;-311,66
0,17;-62,44;-123,67;-185,93;-248,71;-311,66
0,17;-62,44;-123,69;-185,93;-248,71;-311,66
0,17;-62,44;-123,50;-185,93;-248,71;-311,66
0,17;-62,46;-123,50;-185,93;-248,71;-311,66
0,17;-62,26;-123,50;-185,93;-248,71;-311,66
0,20;-62,26;-123,50;-185,92;-248,71;-311,66
0,00;-62,26;-123,50;-186,10;-248,71;-311,66
0,00;-62,26;-123,50;-186,10;-248,71;-311,66
0,00;-62,28;-123,50;-186,10;-248,71;-311,66
0,00;-62,09;-123,50;-186,10;-248,71;-311,67
0,02;-62,09;-123,50;-186,10;-248,71;-311,49
-0,17;-62,09;-123,50;-186,10;-248,71;-311,49
-0,17;-62,09;-123,50;-186,10;-248,71;-311,49
-0,17;-62,11;-123,50;-186,10;-248,71;-311,49
-0,17;-61,92;-123,50;-186,09;-248,71;-311,49
-0,17;-61,92;-123,51;-186,28;-248,71;-311,49
-0,17;-61,92;-123,31;-186,28;-248,71;-311,49
-0,17;-61,94;-123,50;-186,28;-248,71;-311,49
-0,15;-61,75;-123,51;-186,28;-248,71;-311,49
-0,34;-61,75;-123,32;-186,28;-248,71;-311,49
-0,34;-61,75;-123,32;-186,28;-248,71;-311,49
-0,34;-61,75;-123,32;-186,28;-248,71;-311,49
-0,34;-61,77;-123,32;-186,28;-248,71;-311,49
-0,34;-61,58;-123,32;-186,28;-248,71;-311,49
-0,34;-61,58;-123,32;-186,28;-248,71;-311,49
-0,34;-61,58;-123,32;-186,28;-248,71;-311,49
-0,34;-61,58;-123,32;-186,28;-248,72;-311,50
-0,34;-61,58;-123,32;-186,28;-248,54;-311,32
-0,37;-61,60;-123,34;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,17;-61,40;-123,15;-186,28;-248,54;-311,32
-0,20;-61,40;-123,15;-186,28;-248,54;-311,32
0,00;-61,38;-123,15;-186,28;-248,54;-311,32
0,00;-61,58;-123,15;-186,28;-248,54;-311,32
0,00;-61,58;-123,15;-186,28;-248,54;-311,32
0,00;-61,58;-123,15;-186,28;-248,54;-311,32
0,00;-61,58;-123,15;-186,28;-248,55;-311,32
-0,02;-61,58;-123,15;-186,28;-248,37;-311,32
0,17;-61,58;-123,15;-186,28;-248,37;-311,32
0,17;-61,58;-123,15;-186,28;-248,37;-311,32
0,17;-61,56;-123,15;-186,29;-248,37;-311,32
0,17;-61,75;-123,15;-186,09;-248,37;-311,32
0,17;-61,75;-123,15;-186,29;-248,37;-311,32
0,17;-61,75;-123,15;-186,10;-248,37;-311,32
0,17;-61,75;-123,15;-186,10;-248,37;-311,32
0,15;-61,73;-123,15;-186,10;-248,37;-311,32
0,34;-61,92;-123,15;-186,10;-248,37;-311,32
0,34;-61,92;-123,15;-186,10;-248,37;-311,32
0,34;-61,92;-123,15;-186,10;-248,37;-311,32
0,34;-61,90;-123,15;-186,12;-248,37;-311,32
0,34;-62,09;-123,15;-185,93;-248,37;-311,32
0,34;-62,09;-123,13;-185,93;-248,37;-311,32
0,34;-62,09;-123,34;-185,93;-248,37;-311,32
0,34;-62,07;-123,13;-185,93;-248,37;-311,32
0,34;-62,26;-123,32;-185,93;-248,37;-311,32
0,34;-62,26;-123,32;-185,93;-248,37;-311,32
0,34;-62,26;-123,32;-185,93;-248,37;-311,32
0,34;-62,24;-123,32;-185,95;-248,37;-311,32
0,37;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,44;-123,32;-185,76;-248,37;-311,32
0,17;-62,42;-123,31;-185,76;-248,37;-311,32
0,20;-62,63;-123,50;-185,76;-248,37;-311,32
0,00;-62,42;-123,50;-185,77;-248,37;-311,32
0,00;-62,61;-123,50;-185,59;-248,37;-311,31
0,00;-62,61;-123,50;-185,59;-248,37;-311,49
0,00;-62,61;-123,50;-185,59;-248,37;-311,49
0,00;-62,61;-123,50;-185,59;-248,37;-311,49
0,02;-62,61;-123,50;-185,59;-248,37;-311,49
-0,17;-62,61;-123,50;-185,59;-248,37;-311,49
-0,17;-62,63;-123,50;-185,59;-248,37;-311,49
-0,17;-62,44;-123,50;-185,59;-248,36;-311,49
-0,17;-62,44;-123,50;-185,59;-248,54;-311,49
-0,17;-62,44;-123,50;-185,59;-248,54;-311,49
-0,17;-62,44;-123,50;-185,59;-248,54;-311,49
-0,17;-62,44;-123,48;-185,59;-248,54;-311,49
-0,15;-62,44;-123,67;-185,59;-248,54;-311,49
-0,34;-62,44;-123,67;-185,59;-248,54;-311,49
-0,34;-62,44;-123,67;-185,59;-248,54;-311,49
-0,34;-62,46;-123,67;-185,59;-248,54;-311,49
-0,34;-62,26;-123,67;-185,59;-248,54;-311,49
-0,34;-62,26;-123,69;-185,59;-248,54;-311,49
-0,34;-62,26;-123,50;-185,59;-248,54;-311,48
-0,34;-62,26;-123,50;-185,59;-248,54;-311,66
-0,34;-62,28;-123,50;-185,59;-248,54;-311,66
-0,34;-62,09;-123,50;-185,59;-248,54;-311,66
-0,37;-62,09;-123,50;-185,59;-248,54;-311,66
-0,17;-62,09;-123,50;-185,59;-248,54;-311,66
-0,17;-62,11;-123,50;-185,59;-248,54;-311,66
-0,17;-61,92;-123,50;-185,57;-248,54;-311,66
-0,17;-61,92;-123,50;-185,76;-248,53;-311,66
-0,17;-61,92;-123,50;-185,76;-248,71;-311,66
-0,17;-61,94;-123,50;-185,76;-248,71;-311,66
-0,17;-61,75;-123,50;-185,76;-248,71;-311,66
-0,20;-61,75;-123,50;-185,76;-248,71;-311,66
0,00;-61,75;-123,50;-185,76;-248,71;-311,66
0,00;-61,75;-123,50;-185,76;-248,71;-311,66
0,00;-61,77;-123,51;-185,76;-248,71;-311,66
0,00;-61,58;-123,31;-185,75;-248,71;-311,66
0,00;-61,58;-123,50;-185,93;-248,71;-311,66
-0,02;-61,58;-123,50;-185,93;-248,71;-311,66
0,17;-61,58;-123,51;-185,93;-248,71;-311,66
0,17;-61,58;-123,32;-185,93;-248,71;-311,66
0,17;-61,58;-123,32;-185,93;-248,71;-311,66
0,17;-61,58;-123,32;-185,93;-248,71;-311,66
0,17;-61,58;-123,32;-185,93;-248,71;-311,66
