"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7"
0,34;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
0,37;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
0,17;-12,56;-25,43;-38,18;-51,26;-64,33;-77,23
0,17;-12,53;-25,63;-38,18;-51,28;-64,33;-77,23
0,17;-12,76;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,17;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,20;-12,56;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,53;-25,63;-38,18;-51,08;-64,33;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,36;-77,23
0,00;-12,73;-25,63;-38,18;-51,08;-64,13;-77,23
0,00;-12,73;-25,60;-38,18;-51,08;-64,36;-77,23
0,00;-12,73;-25,80;-38,18;-51,08;-64,16;-77,20
0,00;-12,73;-25,80;-38,18;-51,08;-64,16;-77,40
0,00;-12,73;-25,80;-38,18;-51,08;-64,13;-77,40
0,00;-12,73;-25,80;-38,16;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,80;-38,36;-51,08;-64,33;-77,40
0,00;-12,73;-25,77;-38,36;-51,06;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,26;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,23;-64,33;-77,40
0,00;-12,73;-25,97;-38,36;-51,43;-64,33;-77,40
-0,03;-12,73;-25,97;-38,36;-51,43;-64,33;-77,43
0,17;-12,73;-25,97;-38,33;-51,43;-64,33;-77,20
0,17;-12,73;-25,97;-38,53;-51,43;-64,33;-77,43
0,17;-12,73;-25,97;-38,53;-51,40;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
0,17;-12,73;-25,97;-38,53;-51,60;-64,33;-77,23
