"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-17,67;-2,49;-35,42;-56,45;-62,47;-107,12
-16,87;-3,88;-37,84;-54,00;-60,70;-107,81
-15,84;-4,57;-38,58;-52,62;-59,21;-108,55
-14,45;-4,95;-40,65;-50,39;-57,38;-109,07
-14,63;-6,69;-41,91;-49,01;-56,17;-109,58
-14,17;-7,84;-43,75;-46,84;-54,11;-110,15
-13,61;-8,10;-45,18;-45,18;-52,79;-110,50
-12,69;-10,30;-46,16;-43,23;-51,19;-110,84
-10,72;-11,27;-48,34;-41,51;-49,87;-111,23
-11,36;-12,30;-49,14;-39,85;-48,33;-111,41
-10,85;-14,32;-51,03;-37,79;-46,67;-111,63
-10,51;-14,82;-52,18;-36,53;-45,58;-111,58
-9,90;-16,95;-53,50;-34,81;-43,86;-111,80
-6,51;-18,04;-55,28;-33,03;-42,94;-111,85
-8,03;-19,59;-55,91;-31,49;-41,62;-111,68
-7,75;-21,26;-57,57;-29,82;-39,85;-111,51
-7,30;-22,22;-58,83;-28,85;-39,10;-111,33
-6,67;-24,41;-59,81;-26,61;-38,07;-111,21
-5,81;-25,15;-61,07;-26,05;-35,89;-110,87
-4,64;-27,28;-62,16;-24,09;-35,72;-110,52
-4,77;-28,31;-62,96;-23,06;-35,33;-110,23
-4,36;-30,15;-64,05;-22,15;-32,92;-109,72
-4,31;-31,47;-64,91;-20,59;-30,15;-109,25
-3,73;-33,02;-65,83;-19,73;-32,17;-108,51
-3,39;-34,74;-66,52;-18,93;-31,77;-108,10
-3,05;-35,54;-67,26;-18,02;-31,55;-107,19
-2,70;-37,49;-67,78;-16,23;-28,04;-106,50
-2,30;-38,35;-68,29;-16,18;-26,94;-105,91
-2,13;-39,96;-68,86;-15,66;-28,49;-104,83
-1,95;-41,51;-69,21;-15,20;-28,78;-103,97
-1,72;-42,08;-69,61;-14,52;-28,61;-103,16
-1,78;-44,03;-69,78;-13,89;-28,38;-102,13
-1,55;-45,18;-70,00;-12,79;-28,44;-101,10
-1,55;-45,64;-70,00;-12,56;-28,21;-100,07
-1,49;-47,13;-70,00;-12,50;-28,15;-99,09
-1,72;-48,28;-70,06;-12,73;-28,32;-97,89
-1,66;-48,91;-69,89;-12,73;-28,49;-96,68
-1,83;-49,71;-69,77;-12,79;-28,67;-95,48
-1,94;-50,86;-69,43;-12,86;-28,84;-94,28
-2,29;-51,60;-69,08;-11,03;-28,89;-93,13
-2,63;-52,18;-68,79;-13,35;-29,47;-91,70
-2,97;-52,46;-68,33;-14,04;-29,69;-90,55
-3,32;-52,98;-67,64;-14,78;-30,32;-89,17
-3,60;-53,50;-66,96;-15,30;-31,24;-87,80
-4,18;-54,07;-66,27;-16,36;-31,99;-86,42
-4,58;-54,47;-65,63;-14,06;-32,45;-85,05
-4,82;-54,64;-64,78;-17,13;-32,96;-83,67
-4,45;-54,87;-63,92;-18,57;-34,28;-82,30
-5,60;-54,87;-63,11;-18,97;-35,14;-80,92
